"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","X_content_shape","Y_factors_shape","batch_size","best_k","embedding_dim","encoding_dim","factors","hidden_dim","iterations","learning_rate","min_data_in_leaf","min_gain_to_split","model_output_path","model_output_path_raw","n_clusters","n_estimators","num_epochs","num_leaves","patience","random_state","regularization","best_silhouette","davies_bouldin_score","inertia","mae_0","mae_1","mae_10","mae_11","mae_12","mae_13","mae_14","mae_15","mae_16","mae_17","mae_18","mae_19","mae_2","mae_20","mae_21","mae_22","mae_23","mae_24","mae_25","mae_26","mae_27","mae_28","mae_29","mae_3","mae_30","mae_31","mae_32","mae_33","mae_34","mae_35","mae_36","mae_37","mae_38","mae_39","mae_4","mae_40","mae_41","mae_42","mae_43","mae_44","mae_45","mae_46","mae_47","mae_48","mae_49","mae_5","mae_50","mae_51","mae_52","mae_53","mae_54","mae_55","mae_56","mae_57","mae_58","mae_59","mae_6","mae_60","mae_61","mae_62","mae_63","mae_7","mae_8","mae_9","mean_mae","mean_r2","mean_std_y","r2_0","r2_1","r2_10","r2_11","r2_12","r2_13","r2_14","r2_15","r2_16","r2_17","r2_18","r2_19","r2_2","r2_20","r2_21","r2_22","r2_23","r2_24","r2_25","r2_26","r2_27","r2_28","r2_29","r2_3","r2_30","r2_31","r2_32","r2_33","r2_34","r2_35","r2_36","r2_37","r2_38","r2_39","r2_4","r2_40","r2_41","r2_42","r2_43","r2_44","r2_45","r2_46","r2_47","r2_48","r2_49","r2_5","r2_50","r2_51","r2_52","r2_53","r2_54","r2_55","r2_56","r2_57","r2_58","r2_59","r2_6","r2_60","r2_61","r2_62","r2_63","r2_7","r2_8","r2_9","silhouette_score","std_y_0","std_y_1","std_y_10","std_y_11","std_y_12","std_y_13","std_y_14","std_y_15","std_y_16","std_y_17","std_y_18","std_y_19","std_y_2","std_y_20","std_y_21","std_y_22","std_y_23","std_y_24","std_y_25","std_y_26","std_y_27","std_y_28","std_y_29","std_y_3","std_y_30","std_y_31","std_y_32","std_y_33","std_y_34","std_y_35","std_y_36","std_y_37","std_y_38","std_y_39","std_y_4","std_y_40","std_y_41","std_y_42","std_y_43","std_y_44","std_y_45","std_y_46","std_y_47","std_y_48","std_y_49","std_y_5","std_y_50","std_y_51","std_y_52","std_y_53","std_y_54","std_y_55","std_y_56","std_y_57","std_y_58","std_y_59","std_y_6","std_y_60","std_y_61","std_y_62","std_y_63","std_y_7","std_y_8","std_y_9","train_loss","training_time_sec","training_time_seconds","val_loss","val_rmse","model_type","library","format","Recomendation"
"2025-05-02 14:36:06","3.9min","03b1b6af1c9249ad8ad57216a514c119","charming-gnu-406","LOCAL","scripts/train_autoencoder.py","saatarko","FINISHED","","","256","","","64","","","","0.001","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-05-01 23:11:58","2.2h","fc0cbe50824543218b3a39429f3728c4","righteous-bee-804","LOCAL","scripts/train_autoencoder.py","saatarko","FINISHED","","","128","","","64","","","","0.001","","","models/movies_content_autoencoder.pt","models/movies_content_autoencoder_raw.pt","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-05-01 16:51:49","27.1min","0c1ae664f0d94914b797d9898611f642","kmeans_full_users","LOCAL","scripts/cluster.py","saatarko","FINISHED","","","","","","","","","","","","","","","150","","","","","","","","1.0661447046769803","244413988864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3168525993824005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-05-01 10:05:07","4.9h","d2d9cd35c96b474fa229c35720af7591","capable-eel-272","LOCAL","scripts/train_autoencoder.py","saatarko","FINISHED","","","512","","64","","","128","","0.001","","","","","","","20","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5346665542830001","","","","0.8215447354984523","","","",""
"2025-05-01 00:23:48","6.1h","bb3d7d797e234fb0bd33179dd791c1d5","exultant-sloth-883","LOCAL","scripts/train_autoencoder.py","saatarko","FINISHED","","","256","","","","","128","","0.001","","","","","","","20","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1328016042903277","","","","1.064219821945634","","","",""
"2025-04-30 20:27:31","20.2min","0bc84aaf8cbc43bd8def79227d36a832","kmeans_users","LOCAL","scripts/cluster.py","saatarko","FINISHED","","","","","","","","","","","","","","","150","","","","","","","","1.0689300750703243","193675569175.21265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31486033667316043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-04-30 18:53:51","","a556cf901dbf4801b13d33613c249f0f","intrigued-hawk-959","LOCAL","scripts/train_autoencoder.py","saatarko","RUNNING","","","256","","","","","128","","0.001","","","","","","","20","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.47168729484176","","","","1.0640004726710022","","","",""
"2025-04-30 17:54:34","35.3min","9220a4a1333e40a7bde334f520519ec8","languid-frog-638","LOCAL","scripts/train_autoencoder.py","saatarko","FAILED","","","128","","","","","128","","0.001","","","","","","","20","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-04-30 17:42:37","","74828ee41f564f7fa14d263efc787a49","caring-bat-38","LOCAL","scripts/train_autoencoder.py","saatarko","RUNNING","","","128","","","","","128","","0.001","","","","","","","20","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-04-30 11:18:23","2.2h","60d9f91ed6d249c592a6fc34147db682","colorful-conch-736","LOCAL","scripts/train_autoencoder.py","saatarko","FINISHED","","","128","","","64","","","","0.001","","","models/movies_content_autoencoder.pt","models/movies_content_autoencoder_raw.pt","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-04-30 09:21:51","","175ce47c5de74c71b0398bdb2f0f3c66","able-wren-909","LOCAL","scripts/train_autoencoder.py","saatarko","RUNNING","","","128","","","64","","","","0.001","","","models/movies_content_autoencoder.pt","models/movies_content_autoencoder_raw.pt","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-04-29 23:57:15","1.8h","0a8e5a4a26b646678e19d527d6867d91","rare-sheep-99","LOCAL","scripts/train_autoencoder.py","saatarko","FINISHED","","","128","","","64","","","","0.001","","","models/movies_content_autoencoder.pt","models/movies_content_autoencoder_raw.pt","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-04-29 18:31:31","","fc10abfb91c64082876b10bc32e0a2ac","whimsical-seal-507","LOCAL","scripts/train_autoencoder.py","saatarko","RUNNING","","","128","","","64","","","","0.001","","","models/movies_content_autoencoder.pt","models/movies_content_autoencoder_raw.pt","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-04-29 16:15:47","18.7s","f8754bd2b6404c72ab96641e33656c34","movie_and_als_clusters","LOCAL","scripts/cluster.py","saatarko","FINISHED","","","","","","","","","","","","","","","150","","","","","","","","2.361566952462859","86493.78445294683","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05084108839700421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-04-29 14:41:25","19.8s","4a0d72ba8eba497fb2e2afbef0602e3f","Bridge_LGBM","LOCAL","scripts/train_autoencoder.py","saatarko","FINISHED","(16376, 64)","(16376, 64)","","","","","","","","0.1","5","0.0","","","","100","","31","","42","","","","","0.031781190484707976","0.03239834095231728","0.03664295653489537","0.0359998514865053","0.03410269028395504","0.03855005308267387","0.03542457092847558","0.036549876281307715","0.028228317749222062","0.03345410056606556","0.03159932272480787","0.03613611700958962","0.040530242080460806","0.03385068980582761","0.03337003050706641","0.03765540838194815","0.03233336122927138","0.030947833735180983","0.03407513836766609","0.03918441568439302","0.03154111001043591","0.03866260589994281","0.038468138231401876","0.03151541519612158","0.0347784924194017","0.033498115343006764","0.036222529041164846","0.03699540632986665","0.040257956889150556","0.03976311823809476","0.03520386742014121","0.03682335870580153","0.03147072049374637","0.03600051214416654","0.03525018958831326","0.0350194925391612","0.03735350410679874","0.035615306642717545","0.03237419106584324","0.035001110953941664","0.03238484539149012","0.03513626523118424","0.02970958172663639","0.037721708581595494","0.033849951485979336","0.032161787727555825","0.036590498046708345","0.03681298582638356","0.03903188357154478","0.03142319467845383","0.030906436381186363","0.03347318241232261","0.03784464859604034","0.03542241379593512","0.03121171693817122","0.040858016612927116","0.031192112329266254","0.03285985420004413","0.033424899902780726","0.033627438197559506","0.03633293968629541","0.03190398664007069","0.03469126460494272","0.03661483718865679","0.034840876545145116","0.2736551147202605","0.0580385738867335","0.26557474038246","0.2641211898673602","0.2966079786800708","0.2782167054053155","0.2549647581305242","0.28428339701483407","0.30392555553068157","0.2827357873739085","0.2660565489614243","0.25790122099271806","0.270566744452196","0.27286725136969425","0.2605935209091298","0.2762495751768336","0.26964433917424724","0.26712705497741274","0.2715839130221478","0.2626857882652377","0.3024670607918982","0.26160637541423604","0.25878505145930697","0.2763827621238374","0.27416385134910237","0.2828295494624431","0.33877262174823575","0.27023543707933073","0.2527364331533706","0.27815249765242867","0.27293414386378223","0.28073283680901373","0.2759245031614066","0.2850945241117403","0.2630303344521828","0.2689689395002717","0.25679221091282844","0.2589933674690117","0.2688109402308628","0.255094437854938","0.25592391024141714","0.2649151853806031","0.27266378064667773","0.25891124963647616","0.26427318325805016","0.28432898691888153","0.2740935890542462","0.291278927593034","0.2676481114517433","0.2893199264980969","0.27511768877319187","0.26899286779306963","0.2517061969927833","0.2740750907973256","0.2757908333594561","0.2954174869048285","0.2780193428441924","0.27521232676061314","0.2815918432533687","0.2735188293119417","0.2841615285588095","0.27239337965123955","0.2639319443678364","0.27076239265160695","0.29496954566394473","0.2666952454468169","","0.05251935496926308","0.05349333956837654","0.06574615091085434","0.06049051880836487","0.055062659084796906","0.06517430394887924","0.060659680515527725","0.06200912222266197","0.04786171391606331","0.052646853029727936","0.05411529168486595","0.05941936746239662","0.06084123253822327","0.058707401156425476","0.057027418166399","0.059952910989522934","0.05687713250517845","0.05189412832260132","0.06123211234807968","0.06699374318122864","0.04947962984442711","0.061609458178281784","0.06280728429555893","0.05238291993737221","0.06495766341686249","0.05675162374973297","0.05781635642051697","0.06218651309609413","0.06689976155757904","0.06730829924345016","0.05872389301657677","0.0618351474404335","0.0504496730864048","0.05864387005567551","0.05579149350523949","0.05537409335374832","0.05852311849594116","0.05727558955550194","0.05173695087432861","0.05669354647397995","0.05433303490281105","0.057844385504722595","0.05119721591472626","0.06705717742443085","0.05564920976758003","0.05593987926840782","0.05934680625796318","0.06273577362298965","0.06351527571678162","0.05048889294266701","0.0511026605963707","0.05621225759387016","0.062388788908720016","0.06238948553800583","0.053405921906232834","0.0697631761431694","0.051497139036655426","0.05389980971813202","0.05675535276532173","0.055486999452114105","0.05933092534542084","0.05331510677933693","0.05834948271512985","0.062492650002241135","","19.7426278591156","","","","LGBMRegressor","","",""
